[  193.200104] BUG: scheduling while atomic: python3/493/0x00000000
[  193.511262] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.512942] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.516090] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.519946] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.523624] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.529467] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.531723] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.533066] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.536455] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.541861] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.542993] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.546772] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.548673] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.551350] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.553814] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.554622] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.556730] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.558712] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.563039] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.566804] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.570340] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.572327] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.575494] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.579028] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.581177] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
