2025-10-28 14:16:46, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 29, Flipped 2970615811, [+] System running normally
2025-10-28 14:16:48, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 30, Flipped 3507486723, [+] System running normally
2025-10-28 14:16:50, Instruction: 0xffff800010ba6384, Mem: 2433744899, Flipped bit 31, Flipped 286261251, [+] System running normally
2025-10-28 14:16:52, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 0, Flipped 3489660931, [+] System running normally
2025-10-28 14:16:54, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 1, Flipped 3489660928, [+] System running normally
2025-10-28 14:16:56, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 2, Flipped 3489660934, [+] System running normally
2025-10-28 14:16:58, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 3, Flipped 3489660938, [+] System running normally
2025-10-28 14:17:00, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 4, Flipped 3489660946, [+] System running normally
2025-10-28 14:17:02, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 5, Flipped 3489660962, [+] System running normally
2025-10-28 14:17:04, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 6, Flipped 3489660994, [+] System running normally
2025-10-28 14:17:08, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 7, Flipped 3489661058, [+] System running normally
2025-10-28 14:17:10, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 8, Flipped 3489661186, [+] System running normally
2025-10-28 14:17:12, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 9, Flipped 3489661442, [+] System running normally
2025-10-28 14:17:14, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 10, Flipped 3489661954, [+] System running normally
2025-10-28 14:17:16, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 11, Flipped 3489662978, [+] System running normally
2025-10-28 14:17:18, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 12, Flipped 3489665026, [+] System running normally
2025-10-28 14:17:20, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 13, Flipped 3489669122, [+] System running normally
2025-10-28 14:17:22, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 14, Flipped 3489677314, [+] System running normally
2025-10-28 14:17:24, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 15, Flipped 3489693698, [+] System running normally
2025-10-28 14:17:26, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 16, Flipped 3489726466, [+] System running normally
2025-10-28 14:17:28, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 17, Flipped 3489792002, [+] System running normally
2025-10-28 14:17:30, Instruction: 0xffff800010ba6388, Mem: 3489660930, Flipped bit 18, Flipped 3489923074, [+] System running normally
