2025-09-29 14:39:16, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 22, Flipped 2436891645, [+] System running normally
2025-09-29 14:39:20, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 23, Flipped 2441085949, [!] Exception detected! [{'flag': 'Error'}, {'Oops': 'Oops - BUG: 0 [#1] PREEMPT SMP'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:42:42, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 24, Flipped 2415920125, [+] System running normally
2025-09-29 14:42:45, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 25, Flipped 2466251773, [+] System running normally
2025-09-29 14:42:47, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 26, Flipped 2499806205, [+] System running normally
2025-09-29 14:42:51, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 27, Flipped 2566915069, [+] System running normally
2025-09-29 14:42:53, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 28, Flipped 2164261885, [!] Exception detected! [{'flag': 'Error'}, {'Oops': 'Oops - BUG: 0 [#1] PREEMPT SMP'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:46:15, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 29, Flipped 2969568253, [+] System running normally
2025-09-29 14:46:17, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 30, Flipped 3506439165, [+] System running normally
2025-09-29 14:46:19, Instruction: 0xffff800010b2de20, Mem: 2432697341, Flipped bit 31, Flipped 285213693, [+] System running normally
2025-09-29 14:46:21, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 0, Flipped 2835436530, [+] System running normally
2025-09-29 14:46:23, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 1, Flipped 2835436529, [+] System running normally
2025-09-29 14:46:25, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 2, Flipped 2835436535, [+] System running normally
2025-09-29 14:46:27, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 3, Flipped 2835436539, [+] System running normally
2025-09-29 14:46:29, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 4, Flipped 2835436515, [+] System running normally
2025-09-29 14:46:31, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 5, Flipped 2835436499, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x9600004e', 'raw_match': '[  210.397995]   ESR = 0x9600004e'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 14:49:53, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 6, Flipped 2835436467, [+] System running normally
2025-09-29 14:49:55, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 7, Flipped 2835436403, [+] System running normally
2025-09-29 14:49:59, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 8, Flipped 2835436275, [+] System running normally
